CODE;SUBCODE;X;Y;Z;RFLNAAM;DIJKPAAL;Afstand Profielpunten
999;999;159871.59177;424208.06380;999999.000000;AD642M50;;
999;999;159871.71244;424209.05649;999999.000000;AD642M50;;
999;999;159871.83310;424210.04919;999999.000000;AD642M50;;
999;999;159871.95377;424211.04188;999999.000000;AD642M50;;
999;999;159872.07444;424212.03457;999999.000000;AD642M50;;
999;999;159872.19510;424213.02726;999999.000000;AD642M50;;
999;999;159872.31577;424214.01996;999999.000000;AD642M50;;
999;999;159872.43644;424215.01265;999999.000000;AD642M50;;
999;999;159872.55710;424216.00534;999999.000000;AD642M50;;
999;999;159872.67777;424216.99804;999999.000000;AD642M50;;
999;999;159872.79844;424217.99073;5.451600;AD642M50;;
999;999;159872.91910;424218.98342;5.359600;AD642M50;;
999;999;159873.03977;424219.97612;5.411100;AD642M50;;
999;999;159873.16044;424220.96881;5.384400;AD642M50;;
999;999;159873.28110;424221.96150;5.363000;AD642M50;;
999;999;159873.40177;424222.95420;5.364500;AD642M50;;
999;999;159873.52244;424223.94689;5.359000;AD642M50;;
999;999;159873.64311;424224.93958;5.358600;AD642M50;;
999;999;159873.76377;424225.93227;5.400000;AD642M50;;
999;999;159873.88444;424226.92497;5.310100;AD642M50;;
999;999;159874.00511;424227.91766;5.248600;AD642M50;;
999;999;159874.12577;424228.91035;5.240000;AD642M50;;
999;999;159874.24644;424229.90305;5.300100;AD642M50;;
999;999;159874.36711;424230.89574;5.405700;AD642M50;;
999;999;159874.48777;424231.88843;5.410200;AD642M50;;
999;999;159874.60844;424232.88113;5.422600;AD642M50;;
999;999;159874.72911;424233.87382;5.451000;AD642M50;;
999;999;159874.84977;424234.86651;5.411000;AD642M50;;
999;999;159874.97044;424235.85920;5.376400;AD642M50;;
999;999;159875.09111;424236.85190;5.420000;AD642M50;;
999;999;159875.21177;424237.84459;5.396400;AD642M50;;
999;999;159875.33244;424238.83728;5.402200;AD642M50;;
999;999;159875.45311;424239.82998;5.394800;AD642M50;;
999;999;159875.57378;424240.82267;5.370700;AD642M50;;
999;999;159875.69444;424241.81536;5.354100;AD642M50;;
999;999;159875.81511;424242.80806;5.380000;AD642M50;;
999;999;159875.93578;424243.80075;5.366700;AD642M50;;
999;999;159876.05644;424244.79344;5.364600;AD642M50;;
999;999;159876.17711;424245.78614;5.376000;AD642M50;;
999;999;159876.29778;424246.77883;5.378100;AD642M50;;
999;999;159876.41844;424247.77152;5.407900;AD642M50;;
999;999;159876.53911;424248.76421;5.417900;AD642M50;;
999;999;159876.65978;424249.75691;5.403300;AD642M50;;
999;999;159876.78044;424250.74960;5.406300;AD642M50;;
999;999;159876.90111;424251.74229;5.426800;AD642M50;;
999;999;159877.02178;424252.73499;5.411300;AD642M50;;
