UittredepuntenID,VakID,X_uittrede,Y_uittrede,Som_Scenariokans,P_f_dsn,Max_P_f_i,Max_L_kwelweg,P_f_dsn_max_ratio,Max_P_f_i_max_ratio,Max_L_kwelweg_max_ratio,Max_BenodigdeKwelweglengte,Categorie,Categorie_max_ratio
39,1,153767.45899999887,441396.4765999988,0.9999999999999999,1.1871615842212764e-09,3.381607377261992e-09,231.25587619544189,1.1871615842212764e-09,3.381607377261992e-09,231.25587619544189,153.29814227780778,Iv,Iv
40,1,153766.53299999982,441409.7058000006,0.9999999999999999,1.1217486707768833e-09,3.197541737104889e-09,218.57829134280752,1.1217486707768833e-09,3.197541737104889e-09,218.57829134280752,144.21993887277517,Iv,Iv
41,1,153716.26209999993,441495.0340999998,0.9999999999999999,4.608894523436974e-08,1.314850234193558e-07,146.2746669994187,1.4101233589965424e-05,3.995929896572338e-05,83.5682913599499,126.60737107957317,IIv,IVv
42,1,153717.71730000153,441455.6110999994,0.9999999999999999,4.674803875409625e-09,1.331412489353498e-08,184.42880663917822,3.176443882194771e-08,9.058091649173722e-08,159.841485935195,134.46111418956886,Iv,IIv
43,1,153749.3350000009,441492.52050000057,0.9999999999999999,1.595790813483497e-08,4.5552553289756264e-08,141.53866317966438,9.815194757033517e-07,2.654978741822119e-06,73.91771133008542,112.75969894514753,Iv,IIIv
44,1,153701.31309999898,441503.3685000017,0.9999999999999999,1.3442035849679254e-08,3.837021011063292e-08,140.2915335327193,7.092341387416903e-07,1.8875805682341465e-06,71.63415860724807,110.29106317803654,Iv,IIv
45,1,153683.4624999985,441374.4807999991,0.9999999999999999,2.8486470434356307e-09,8.06009457960689e-09,263.42761293326055,2.8486470434356307e-09,8.06009457960689e-09,263.42761293326055,185.9025141489651,Iv,Iv
46,1,153578.95190000162,441404.9079999998,0.9999999999999999,9.141039076854705e-09,2.5961350694631794e-08,209.1780162011092,9.66555072602924e-09,2.7459955406559034e-08,208.31633804146728,160.40508842305607,Iv,Iv
47,1,153613.6785000004,441388.37150000036,0.9999999999999999,2.5122733160049426e-10,7.133443885957399e-10,233.4720354532743,2.5122733160049426e-10,7.133443885957399e-10,233.4720354532743,148.89350292957215,Iv,Iv
48,1,153648.07440000027,441396.9704999998,0.9999999999999999,7.927603167893067e-11,2.2275196040679758e-10,233.2560603474705,7.927603167893067e-11,2.2275196040679758e-10,233.2560603474705,147.7166766498588,Iv,Iv
49,1,153670.5639999993,441502.8040000014,0.9999999999999999,1.9290869444970617e-09,5.486557606623453e-09,135.76925170239878,8.876117959493793e-09,1.3846708101330127e-08,62.30093417257876,92.20925244742692,Iv,Iv
50,1,153635.50670000166,441456.1711000018,0.9999999999999999,9.658037957100137e-09,2.753138735882503e-08,172.80711345703872,2.0593377276129658e-07,5.870447048369797e-07,136.0036417462047,132.8439785116802,Iv,IIv
51,1,153594.82690000162,441486.5982000008,0.9999999999999999,1.5164418281660797e-09,4.307625801314663e-09,133.635529394003,8.498714286886817e-09,1.7088469261206102e-08,57.367804100189936,89.12643992932402,Iv,Iv
52,1,153624.92330000177,441493.8742999993,0.9999999999999999,3.155340096651559e-08,9.01155194800211e-08,133.69803093817524,4.15918109111696e-06,9.546899912294695e-06,57.71974533404119,112.23548630723505,IIv,IVv
53,1,153654.6889999993,441499.8273999989,0.9999999999999999,1.4151004815428174e-08,4.0398663185409475e-08,134.943990007325,7.540126446733334e-07,1.6562998756700812e-06,60.483422459516504,106.44536360427495,Iv,IIv
54,1,153681.8088000007,441318.5874999985,0.9999999999999999,1.546104116809797e-11,4.379060297338639e-11,317.3133000198552,1.546104116809797e-11,4.379060297338639e-11,317.3133000198552,169.0367220935268,Iv,Iv
55,1,153579.94409999996,441330.1629999988,0.9999999999999999,2.089751446355871e-10,5.939947081920839e-10,282.0315601614551,2.089751446355871e-10,5.939947081920839e-10,282.0315601614551,169.0367220935268,Iv,Iv
56,1,153603.75659999996,441324.5406000018,0.9999999999999999,9.383820230324676e-13,1.5591035546924013e-12,293.0932096796004,9.383820230324676e-13,1.5591035546924013e-12,293.0932096796004,169.0367220935268,Iv,Iv
57,1,153928.15300000086,441357.88369999826,0.9999999999999999,3.845435758803151e-09,1.088886043598528e-08,251.16929044958758,3.845435758803151e-09,1.088886043598528e-08,251.16929044958758,181.04073008440838,Iv,Iv
58,1,153948.3935999982,441360.2650000006,0.9999999999999999,7.11336237739012e-09,2.0075435605441766e-08,251.6796264068085,7.11336237739012e-09,2.0075435605441766e-08,251.6796264068085,189.63678672248955,Iv,Iv
59,1,153976.57180000097,441363.0430999994,0.9999999999999999,4.7376795080059176e-09,1.3396226828015076e-08,253.33689231931396,4.7376795080059176e-09,1.3396226828015076e-08,253.33689231931396,185.36297577831465,Iv,Iv
60,1,154092.06269999966,441419.79630000144,0.9999999999999999,1.2061833427496584e-09,3.4303213060828958e-09,249.19863670217325,1.2061833427496584e-09,3.4303213060828958e-09,249.19863670217325,165.50078998979612,Iv,Iv
61,1,154180.56599999964,441450.3557999991,0.9999999999999999,8.732873853746835e-10,2.483379094057474e-09,258.0493000621743,8.732873853746835e-10,2.483379094057474e-09,258.0493000621743,167.63946329284053,Iv,Iv
62,1,153734.34530000016,441502.9197999984,0.9999999999999999,5.621702450137734e-10,1.5811607987840836e-09,134.64285854634767,2.326650456216432e-09,5.041388731555091e-09,60.22545505368708,87.12811349197615,Iv,Iv
