UittredepuntenID,X_uittrede,Y_uittrede,VakID,Vaknaam_x,Uittredelocatie,Opmerking_uittredepunt,DIST_L_GEOM,DIST_BUT,DIST_BIT,Bodemhoogte,MHW,Polderpeil,LOK_TOP_Z_HL,LOK_TOP_Z_PL,Scenarionaam,Scenariokans,Vaknaam_y,Scenariokans_vak,bodemhoogte_vak,Top_zand,Top_zand_max,Top_zand_min,D_cover_vak,gamma_sat_cover_vak,D70,Dikte_H_Rg_zm,Dikte_P_Rg_zg,Dikte_P_Rg_zm,Dikte_WVP,k_H_Rg_zm,k_P_Rg_zg,k_P_Rg_zm,kD_WVP,k_WVP,Weerstand_C3_achterland,Weerstand_C1_voorland,Leklengte_stat_voorland,Leklengte_stat_achterland,VerhLekLengteVoorland_Achterland,L3_geom,Onverst_stijghoogte_polder,lamb3_gem_stijgh,lamb_voorland_cycl_gemeten,lamb_achterland_cycl_gemeten,c_v,L1_geom,L2,W1,W3,r_BIT,r_exit,pot_exit,OK_deklaag,D_cover,h_exit,dH_red,L_kwelweg,Ratio_pipe_Lkwelweg,L_kwelweg_max_ratio,d_pot_c_u,Z_u,F_u,Beta_u,Pf_u,i_optredend,Z_h,F_h,Beta_h,Pf_h,F_u_macro,dHc_piping,Z_p,F_p,Beta_p,Pf_p,gamma_pip,BenodigdeKwelweglengte,P_f_i,MaatgevendMechanisme,P_f_iXS_i,dHc_piping_max_ratio,F_p_max_ratio,Beta_p_max_ratio,Pf_p_max_ratio,P_f_i_max_ratio,P_f_iXS_i_max_ratio
11,154028.2175000012,441515.1369000003,1,RB243.-RB249.,maaiveld,,406.3542148105434,29.150369126621737,4.60293860502317,7.631999969482422,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,377.20384568392166,24.547430521598567,101.73410208523048,1193.8423964722026,0.9043411532620821,0.9008610404716206,8.37003708675898,-4.0,11.631999969482422,7.631999969482422,0.01,130.8844712118522,0.2227183168233791,58.30073825324347,7.932525973072109,7.194488855795551,10.748139608945467,8.755421131735606,1.016713902932773e-18,0.06344885825420082,0.23655114174579916,4.728217469226683,7.434750831322506,5.2382626265320403e-14,1.5816060861690227,4.982026302236041,4.972026302236041,498.2026302236041,20.635262941431847,6.621161135256223e-95,1.4239301741936647,1.0,6.621161135256223e-95,Piping,6.621161135256223e-96,2.471771314849572,247.17713148495721,18.740934100520228,1.1478101500228953e-78,1.1478101500228953e-78,1.1478101500228954e-79
12,154048.79729999974,441533.6336000003,1,RB243.-RB249.,maaiveld,,405.82630631914606,25.05002759287642,0.292127161172872,8.17199993133545,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,380.77627872626965,24.757900431703547,101.74247307584353,1193.8423964722026,0.9041912627661928,0.9039700385146852,8.388224725310907,-4.0,12.17199993133545,8.17199993133545,0.01,126.79250066871995,0.19756710736644006,50.10005518575284,8.300782827791451,8.084558033815993,38.38959758118026,11.522929493924885,5.055687244839285e-31,0.017764113966088,0.282235886033912,16.88797992248334,10.08694634508723,3.1551008363063274e-24,1.6526002081071463,4.843415948716553,4.833415948716553,484.3415948716553,20.559002265852776,3.1967099766011863e-94,1.4239301741936647,1.0,3.1967099766011863e-94,Piping,3.196709976601186e-95,2.1804598705642197,218.04598705642198,18.402017287580563,6.328204620712886e-76,6.328204620712886e-76,6.328204620712887e-77
13,154098.3321999982,441561.1083999984,1,RB243.-RB249.,maaiveld,,412.9456270383156,28.944534534317384,4.653562149660246,7.64900016784668,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,384.0010925039982,24.290972384657138,101.74954198151195,1193.8423964722026,0.9045062911784274,0.9009873349952787,8.370775909722381,-4.0,11.64900016784668,7.64900016784668,0.01,130.69407651582935,0.22146783776242293,57.88906906863477,7.944119380519295,7.2223436386435935,11.006354078726256,8.807029978655159,6.425266660777933e-19,0.0619603168920824,0.2380396831079176,4.841808677681819,7.484209309620412,3.5989580914781104e-14,1.5838230108887061,4.975583856432147,4.965583856432147,497.55838564321465,20.631765713113353,7.117806263181402e-95,1.4239301741936647,1.0,7.117806263181402e-95,Piping,7.117806263181402e-96,2.4571908703608614,245.71908703608614,18.724944234829238,1.5499797459299456e-78,1.5499797459299456e-78,1.5499797459299457e-79
14,154004.4048999995,441499.2619000003,1,RB243.-RB249.,maaiveld,,403.29955909567764,30.165371629230155,6.249700928625712,7.554999828338623,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,373.1341874664475,23.915670700604444,101.72382331222991,1193.8423964722026,0.904781191072922,0.900056941326117,8.365333106757785,-4.0,11.554999828338623,7.554999828338623,0.01,131.88919494146006,0.22871753552381047,60.33074325846031,7.880015173454167,7.069681895035005,9.724412637756767,8.537827241671582,6.838459962618771e-18,0.07012836784573723,0.22987163215426276,4.277869415981789,7.2262233533444835,2.483053713415262e-13,1.5717340433935703,5.0160123348716645,5.006012334871665,501.60123348716644,20.653637444549414,4.5269721708246116e-95,1.4239301741936647,1.0,4.5269721708246116e-95,Piping,4.526972170824612e-96,2.543605902552441,254.36059025524412,18.818360305431053,2.6706031929684957e-79,2.6706031929684957e-79,2.670603192968496e-80
15,153989.191300001,441491.98580000177,1,RB243.-RB249.,maaiveld,,400.01774941720134,28.859941140492246,6.086431101491722,7.534999847412109,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,371.1578082767091,22.773510039000524,101.71852776555603,1193.8423964722026,0.9055686974657132,0.900963550599108,8.370636771004781,-4.0,11.53499984741211,7.534999847412109,0.01,130.57846890604827,0.22101607854857824,57.71988228098449,7.866376042730581,7.030739119137909,9.41362907817728,8.467216482067464,1.256633616227853e-17,0.0724436007496045,0.2275563992503955,4.1411525227318,7.158554708723872,4.076602519382604e-13,1.5683409228874199,4.971671676655698,4.9616716766556985,497.1671676655698,20.629639808261455,7.43769543133336e-95,1.4239301741936647,1.0,7.43769543133336e-95,Piping,7.43769543133336e-96,2.4511973570790233,245.11973570790232,18.718343822699715,1.7544633059548342e-78,1.7544633059548342e-78,1.7544633059548342e-79
16,153991.83720000088,441475.1185999997,1,RB243.-RB249.,maaiveld,,415.34358383125016,45.64724407126694,22.879268142305232,5.855000019073486,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,369.69633975998323,22.767975928961707,101.7144777585111,1193.8423964722026,0.905575280878309,0.8883837852157365,8.297045143512058,-4.0,9.855000019073486,5.855000019073486,0.13849997520446733,147.36172182977805,0.30976323772869213,91.29448814253388,6.720688086401795,4.278642961963223,2.752073669378606,5.7937298472681125,3.4420080844600432e-09,0.24779757683533313,0.05220242316466686,1.21066559177597,4.596463350374492,2.1486125895019317e-06,1.3479407379601793,5.537087335304775,5.398587360100308,39.97897708739933,13.817281484323017,1.0024986917708317e-43,1.4239301741936647,1.4188679821528858,1.0024986917708317e-43,Piping,1.0024986917708318e-44,3.627049637602357,26.18808871444019,12.673905633065985,4.125103783626032e-37,4.125103783626032e-37,4.125103783626032e-38
17,154003.41270000115,441470.4884000011,1,RB243.-RB249.,maaiveld,,425.7769769302458,54.322235192984564,31.080045658635296,4.894999980926514,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,371.4547417372612,23.24218953434927,101.71933653395298,1193.8423964722026,0.9052463190831431,0.8819800391101137,8.259583228794165,-4.0,8.894999980926514,4.894999980926514,1.3865000247955317,156.04157172693755,0.3481266856760767,108.64447038596913,6.066009161304625,2.7014259134369736,1.8029006014783666,4.8742562039507575,5.460958554980036e-07,0.378255565495481,-0.07825556549548102,0.7931145695292726,3.7153011088620267,0.00010148092871384442,1.2203521818826693,5.827580672597904,4.441080647802372,4.203087319423093,7.7293506415371915,5.4048275965173364e-15,1.4239301741936647,44.32928330967648,5.4048275965173364e-15,Piping,5.404827596517336e-16,4.224778601160082,3.04708151864845,6.860066647159386,3.4414214562131843e-12,3.4414214562131843e-12,3.4414214562131843e-13
18,154020.61070000008,441488.0170999989,1,RB243.-RB249.,maaiveld,,422.17437896943613,48.23878800814873,24.14791830050127,5.745999813079834,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,373.9355909612874,24.09086970764746,101.72591280567656,1193.8423964722026,0.904659639006153,0.8865427089748936,8.286274847503128,-4.0,9.745999813079834,5.745999813079834,0.2802002429962154,149.9647008138253,0.3216676174217499,96.47757601629746,6.646354612589611,4.106079578166317,2.61639173810898,5.683820021742998,6.585944745009796e-09,0.2606479666677257,0.03935203333227427,1.150977710800408,4.491133100912926,3.542262927820776e-06,1.3342005310096716,5.624336328605919,5.344136085609703,20.072560496251555,11.955119294653503,3.0522925292363833e-33,1.4239301741936647,4.3551380827848645,3.0522925292363833e-33,Piping,3.0522925292363836e-34,3.8062855376100346,13.584162158137191,10.899851278369253,5.77229139334602e-28,5.77229139334602e-28,5.77229139334602e-29
19,153870.12860000134,441412.6107000001,1,RB243.-RB249.,maaiveld,,420.32883515745,91.64255666144719,68.65072700266545,4.64900016784668,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,328.6862784960028,22.99182965878174,101.5375020992662,1193.8423964722026,0.9055430808386546,0.8549224325224909,8.10129623025657,-4.0,8.64900016784668,4.64900016784668,1.706299781799316,193.1800587607134,0.4743893197328519,183.28511332289438,5.898247820886267,2.445951758476376,1.7084999994956886,4.757340941113618,9.8079854495852e-07,0.39915550877707995,-0.09915550877707996,0.7515867710785967,3.603257315309768,0.0001571270767975454,1.2021231206918828,7.057037659854417,5.350737878055101,4.135872098871557,7.68578005113476,7.603378443315263e-15,1.4239301741936647,57.111860239906875,7.603378443315263e-15,Piping,7.603378443315264e-16,6.7314910221142465,3.945081101174261,7.55813491382302,2.044449118497906e-14,2.044449118497906e-14,2.0444491184979064e-15
20,153866.82129999995,441441.0533999987,1,RB243.-RB249.,maaiveld,,392.07891760120924,63.646956156784356,40.55181289774953,4.782112121582031,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,328.43196144442487,23.095143259034828,101.5359014815613,1193.8423964722026,0.9054732231648488,0.8752270404714634,8.22007818675806,-4.0,8.782112121582031,4.782112121582031,1.5332542419433586,165.18285763834564,0.38531211450605946,127.29391231356871,5.989024474351048,2.5510584091750186,1.7420254769281442,4.799585965347526,7.949698978560986e-07,0.39147371584191365,-0.09147371584191366,0.7663349743796007,3.6437421302005966,0.00013435131818814323,1.2087595815826613,6.132172221482855,4.598917979539497,3.9994490500874083,7.595127081668823,1.5374525953586985e-14,1.4239301741936647,50.17826342004672,1.5374525953586985e-14,Piping,1.5374525953586985e-15,4.86041753189904,3.1700010337089246,6.966952216331565,1.6194030653877434e-12,1.6194030653877434e-12,1.6194030653877435e-13
