CODE;SUBCODE;X;Y;Z;RFLNAAM
99;999;75453.96;437374.91;-4.33;RB0.03
99;999;75453.55;437374.62;-4.32;RB0.03
99;999;75453.14;437374.34;-4.33;RB0.03
99;999;75452.73;437374.06;-4.32;RB0.03
99;999;75452.31;437373.78;-4.29;RB0.03
99;999;75451.9;437373.5;-4.23;RB0.03
99;999;75451.49;437373.21;-4.2;RB0.03
99;999;75451.07;437372.93;-4.16;RB0.03
99;999;75450.66;437372.65;-4.12;RB0.03
99;999;75450.25;437372.37;-4.09;RB0.03
99;999;75449.83;437372.09;-4.09;RB0.03
99;999;75449.42;437371.81;-4.08;RB0.03
99;999;75449.01;437371.52;-4.06;RB0.03
99;999;75448.59;437371.24;-4.03;RB0.03
99;999;75448.18;437370.96;-4.01;RB0.03
99;999;75447.77;437370.68;-3.96;RB0.03
99;999;75447.36;437370.4;-3.9;RB0.03
99;999;75446.94;437370.11;-3.83;RB0.03
99;999;75446.53;437369.83;-3.8;RB0.03
99;999;75446.12;437369.55;-3.77;RB0.03
99;999;75445.7;437369.27;-3.75;RB0.03
99;999;75445.29;437368.99;-3.73;RB0.03
99;999;75444.88;437368.71;-3.71;RB0.03
99;999;75444.46;437368.42;-3.72;RB0.03
99;999;75444.05;437368.14;-3.7;RB0.03
99;999;75443.64;437367.86;-3.64;RB0.03
99;999;75443.23;437367.58;-3.56;RB0.03
99;999;75442.81;437367.3;-3.48;RB0.03
99;999;75442.4;437367.01;-3.31;RB0.03
99;999;75441.99;437366.73;-3.09;RB0.03
99;999;75441.57;437366.45;-2.81;RB0.03
99;999;75441.16;437366.17;-2.49;RB0.03
99;999;75440.75;437365.89;-2.15;RB0.03
99;999;75440.33;437365.61;-1.86;RB0.03
99;999;75439.92;437365.32;-1.62;RB0.03
99;999;75439.51;437365.04;-1.48;RB0.03
99;999;75439.1;437364.76;-1.47;RB0.03
99;999;75438.68;437364.48;-1.43;RB0.03
99;999;75438.27;437364.2;-1.37;RB0.03
99;999;75437.86;437363.91;-1.28;RB0.03
99;999;75437.44;437363.63;-1.2;RB0.03
99;999;75437.03;437363.35;-1.19;RB0.03
99;999;75436.62;437363.07;-3.05;RB0.03
99;999;75436.2;437362.79;-2.97;RB0.03
99;999;75435.79;437362.51;-2.95;RB0.03
99;999;75435.38;437362.22;0;RB0.03
99;999;75434.97;437361.94;0;RB0.03
99;999;75434.55;437361.66;-2.85;RB0.03
99;999;75434.14;437361.38;-2.86;RB0.03
99;999;75433.73;437361.1;-2.82;RB0.03
99;999;75433.31;437360.81;-2.72;RB0.03
99;999;75432.9;437360.53;-2.71;RB0.03
99;999;75432.49;437360.25;0.66;RB0.03
99;999;75432.07;437359.97;0.66;RB0.03
99;999;75431.66;437359.69;0;RB0.03
99;999;75431.25;437359.41;0;RB0.03
99;999;75430.84;437359.12;0;RB0.03
99;999;75430.42;437358.84;0;RB0.03
